ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,cc0fd0c3-3a9e-47e1-9114-2876169a582b,iron,useable,c1599e54-d788-4000-873d-22946e932ae9,6/8/2017 1:27:02 PM,,6/8/2017 1:27:02 PM,,-85.745739173026,38.2452429908336
2,a7f73f33-649b-453f-aeed-497680b96943,mushroom,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.7459922343655,38.2452768802794
3,65cd89af-bcd7-4d98-8621-0dcdc1256a3c,iron,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.7454947071731,38.2449558661244
4,d58ee972-d86d-4253-8211-3778bc001aae,mushroom,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.7438074874287,38.2448604082862
5,4dbfe493-2f7b-4bf1-b464-e5836d585f4d,mushroom,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.74340841,38.24510287
6,12a79e37-fa8b-48e2-8c61-202c3bfb8f62,iron,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.74169236,38.24469704
7,dedc355e-5dc9-48a4-8dd9-4ccda3f057e5,iron,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.7414501745616,38.2448848331749
8,bd9dcb63-47f3-4cc6-8532-2fbb728877d1,iron,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.739663814418,38.2447996089163
9,5d471ff4-7aa6-4472-b4c5-73b012e5a0c6,wire,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.73935605,38.2447845107893
10,0090f841-bb95-461e-94e9-9943af2813cb,wire,useable,87cb095c-edc4-484a-9f72-3a81b03a4df7,6/8/2017 1:29:20 PM,,6/8/2017 1:29:20 PM,,-85.73967701,38.24458826
